714,0,1,0.0000097145,0.0951068115,1.3542724847
715,1,1,0.0501156520,-0.0329223155,1.0480856895
716,2,1,0.0641696500,-0.0383311538,1.3661913871
717,2,1,0.0830623626,-0.0486910057,1.7526926994
718,4,1,0.1069377422,-0.0617088794,2.2424504756
719,6,0,0.1371490955,-0.1733088397,1.5078117847
720,10,0,0.1252856731,-0.0661461067,2.5985782146
721,15,0,0.1596424102,-0.0871687507,3.2733817100
722,22,0,0.2020219326,-0.1102599859,4.1435127258
723,33,-1,0.2556850433,-0.2346810102,3.8906852722
724,47,-2,0.2735242366,-0.2388859987,4.2371468544
725,64,-3,0.2953923702,-0.2475687980,4.6365032196
726,85,-4,0.3212592363,-0.2584004402,5.1189250946
727,114,-6,0.3522163867,-0.3671463727,4.3526244163
728,145,-8,0.3395576953,-0.3514552116,4.0253534317
729,178,-10,0.3210493087,-0.3348479270,3.5484085083
730,210,-13,0.2940283966,-0.4086732387,1.5432281494
731,240,-14,0.2061751365,-0.1583902835,2.3324172496
732,264,-16,0.1908706283,-0.2464421987,0.5569775104
733,285,-17,0.1174375653,-0.1023644208,0.3380987644
734,297,-18,0.0721418380,-0.0766824483,-0.6700452804
735,302,-18,0.0119020092,0.0546345710,-0.6001987934
736,302,-18,-0.0160326862,0.0676225423,-1.2025300264
737,298,-17,-0.0524667739,0.1826522350,-0.5953023433
738,294,-17,-0.0484712171,0.0797927379,-1.8471745491
739,291,-17,-0.0927763175,0.1062403917,-2.7255582809
740,284,-16,-0.1477203845,0.2312818765,-2.4993414878
741,276,-16,-0.1672031164,0.1412467956,-4.2328658103
742,264,-15,-0.2412184238,0.2790327072,-4.3673753738
743,247,-14,-0.2837034225,0.2966326522,-5.2201261520
744,225,-12,-0.3367850303,0.4174691200,-4.9057984352
745,197,-10,-0.3520619630,0.4169641494,-5.1512684822
746,163,-8,-0.3689027786,0.4196137428,-5.3993382453
747,126,-5,-0.3866224098,0.5178428649,-4.3120117187
748,86,-3,-0.3553945541,0.3935824394,-4.9091086387
749,39,0,-0.3616777658,0.4878753662,-3.5586051940
750,-1,3,-0.3149064064,0.4502671241,-2.4828047752
751,-39,6,-0.2514220476,0.4058103561,-1.0340881347
752,-71,8,-0.1656790971,0.2540402889,-0.4830086231
753,-99,9,-0.1018707036,0.1197867393,-0.4020190238
754,-114,10,-0.0665542030,0.0994908237,0.4003241062
755,-122,11,-0.0189767599,0.0702118301,1.4247660636
756,-124,11,0.0430222415,-0.0620381832,1.3918368816
757,-120,10,0.0732047080,-0.1713842773,0.6865808963
758,-116,10,0.0624140310,-0.0648704147,1.7984901428
759,-112,9,0.0980870151,-0.1817216300,1.1460478305
760,-107,9,0.0920325469,-0.0776889324,2.3565540313
761,-101,8,0.1337539196,-0.1978470706,1.8283164978
762,-94,8,0.1353603720,-0.0980048751,3.1960251331
763,-83,7,0.1867808532,-0.2234644412,2.8672845840
764,-71,6,0.2006744861,-0.2254674911,3.1331963539
765,-56,5,0.2175626754,-0.2314225673,3.4302949905
766,-39,4,0.2371221303,-0.2388022422,3.7829132080
767,-17,2,0.2600799560,-0.3431605100,2.8517909049
768,4,1,0.2372784852,-0.2267813444,3.6695818901
769,25,-1,0.2559899330,-0.3311117887,2.6209568977
770,49,-2,0.2266885519,-0.2111295223,3.3067994117
771,68,-4,0.2372237443,-0.3110234260,2.0899448394
772,87,-5,0.1975540924,-0.1853740215,2.5625841617
773,104,-6,0.1949558448,-0.1829607772,2.4306948184
774,120,-7,0.1887668228,-0.1762624979,2.2558426856
775,137,-8,0.1791686534,-0.1677503585,2.0106811523
776,150,-9,0.1652412319,-0.1568840742,1.6760113239
777,162,-10,0.1458079099,-0.1429883861,1.2286692857
778,171,-10,0.1194250698,-0.0301850438,1.9925182342
779,178,-11,0.1343175053,-0.1356881260,0.9148422241
780,184,-11,0.1019978046,-0.0173531770,1.5868642330
781,188,-11,0.1104937791,-0.0242877006,1.7312197685
782,191,-11,0.1201404571,-0.0295231342,1.9297973632
783,195,-11,0.1323767781,-0.0362157821,2.1810312271
784,198,-12,0.1478640556,-0.1397993564,1.1445800065
785,202,-12,0.1173714160,-0.0224844217,1.8533988952
786,205,-12,0.1281548137,-0.0306524038,2.0446557998
787,207,-12,0.1406960964,-0.0374598503,2.3024828433
788,209,-12,0.1565916442,-0.0461417436,2.6284649372
789,213,-13,0.1766991376,-0.1522313356,1.6870663166
790,217,-13,0.1520649051,-0.0381180047,2.5158789157
791,221,-13,0.1702571487,-0.0503257513,2.8591766357
792,226,-14,0.1921690464,-0.1573615074,1.9554346084
793,234,-14,0.1698426151,-0.0445135831,2.8321401596
794,242,-15,0.1909667778,-0.1534584760,1.8817954063
795,251,-15,0.1665165662,-0.0394201278,2.7155656814
796,259,-16,0.1849757957,-0.1469193696,1.7104946136
797,268,-17,0.1571404218,-0.1261470317,1.1208043098
798,275,-17,0.1212327718,-0.0081813335,1.6886556148
799,280,-18,0.1240460991,-0.1070834398,0.3632297515
800,283,-18,0.0764379787,0.0196011066,0.7215282917
801,284,-18,0.0655779933,0.0232410430,0.4688737869
802,283,-19,0.0507159948,-0.0637223720,-1.1894240379
803,282,-19,-0.0181660156,0.0745513439,-1.2680315971
804,280,-19,-0.0559731197,0.0929127883,-2.0731997489
805,277,-19,-0.1049252271,0.1196706295,-3.0762836933
806,271,-18,-0.1668385410,0.2485626935,-2.9920881271
807,261,-18,-0.1951080513,0.1633106470,-4.9061760902
808,245,-17,-0.2802573680,0.3071812391,-5.2694153785
809,223,-16,-0.3368481159,0.3324991464,-6.4118108749
810,193,-14,-0.4077953815,0.4631093978,-6.4646363258
811,153,-12,-0.4457113265,0.4750013351,-7.1755146980
812,105,-9,-0.4912360191,0.5884819984,-6.6588263511
813,50,-5,-0.4951939582,0.6737027168,-5.2706394195
814,-9,-1,-0.4458582878,0.6314640998,-4.0935859680
815,-66,2,-0.3773455858,0.4858931064,-3.8475556373
816,-127,6,-0.3335448265,0.5495512962,-1.4221029281
817,-175,9,-0.2216354131,0.3780203342,-0.3153901100
818,-212,11,-0.1240155696,0.2221012592,0.5091104507
819,-238,13,-0.0440614175,0.1741373538,2.2752301692
820,-253,13,0.0617707824,-0.0804429054,1.8353232383
821,-256,13,0.0991089248,-0.0962816429,2.6600451469
822,-251,12,0.1485373878,-0.2184280157,2.3189394474
823,-242,11,0.1609641790,-0.2196409225,2.5541458129
824,-231,10,0.1759728431,-0.2245514392,2.8122980117
825,-217,8,0.1931290817,-0.3257066011,1.7614178657
826,-202,7,0.1629562854,-0.2052555561,2.4277827739
827,-185,5,0.1723291969,-0.3044549226,1.1875691413
828,-171,4,0.1312062144,-0.1780017852,1.6297166347
829,-160,3,0.1267432212,-0.1745390987,1.4590156078
830,-151,2,0.1181731109,-0.1665038013,1.2346765995
831,-142,1,0.1055371284,-0.1562901592,0.9264822006
832,-135,0,0.0877379226,-0.1432604312,0.5121190547
833,-131,0,0.0634034633,-0.0315418863,1.3175320625
834,-128,-1,0.0808718490,-0.1384171371,0.2924089431
835,-126,-1,0.0518021106,-0.0218288302,1.0307077169
836,-126,-1,0.0643973922,-0.0309730029,1.2587513923
837,-126,-2,0.0792083358,-0.1341105818,0.2089482545
838,-125,-2,0.0478788948,-0.0163212871,0.9003439903
839,-126,-2,0.0575935411,-0.0238873362,1.0692670345
840,-125,-2,0.0687668323,-0.0299223518,1.2992330741
841,-125,-2,0.0829382038,-0.0376582431,1.5896098613
842,-124,-3,0.1008544802,-0.1425399541,0.6029577255
843,-123,-3,0.0734353780,-0.0268886375,1.3744329214
