502,-224,4,-0.2972278404,0.3348357677,-3.2976694107,0.0399999980
503,-253,6,-0.2726470947,0.3151489257,-2.7174668312,0.0399999980
504,-282,8,-0.2387402296,0.2905671119,-1.9528336524,0.0399999980
505,-305,10,-0.1932835769,0.2599222660,-0.9596824645,0.0399999980
506,-327,11,-0.1335141539,0.1295512313,-0.9285236358,0.0399999980
507,-343,12,-0.1020953416,0.1094466447,-0.2630577087,0.0399999980
508,-353,13,-0.0615603685,0.0847828388,0.5856361389,0.0399999980
509,-356,13,-0.0096215143,-0.0380808115,0.4149283885,0.0399999980
510,-355,13,0.0103684902,-0.0487929582,0.8072870254,0.0399999980
511,-353,12,0.0350203275,-0.1539341211,0.0496999025,0.0399999980
512,-351,12,0.0194718465,-0.0503780841,0.9369893074,0.0399999980
513,-350,12,0.0444357013,-0.0632431507,1.4334467887,0.0399999980
514,-349,12,0.0754547786,-0.0795156955,2.0467829704,0.0399999980
515,-345,12,0.1138667464,-0.0996695709,2.8063716888,0.0399999980
516,-339,11,0.1614412307,-0.2168448448,2.5021598339,0.0399999980
517,-328,11,0.1742834091,-0.1281950473,3.9510362625,0.0399999980
518,-315,10,0.2344174861,-0.2517381191,3.8981618881,0.0399999980
519,-299,9,0.2629285335,-0.2635272741,4.4119424819,0.0399999980
520,-277,8,0.2963943290,-0.2776902198,5.0266742706,0.0399999980
521,-250,6,0.3361109733,-0.3873482227,4.5200648307,0.0399999980
522,-216,4,0.3374958276,-0.3815037727,4.4503650665,0.0399999980
523,-183,1,0.3356402397,-0.4659424304,3.0743856430,0.0399999980
524,-144,-1,0.2837955665,-0.3365455865,3.1498289108,0.0399999980
525,-106,-3,0.2603451251,-0.3172132730,2.5947480201,0.0399999980
526,-71,-6,0.2279454946,-0.3856222629,0.6147546768,0.0399999980
527,-45,-7,0.1382696037,-0.1441589593,1.1868088245,0.0399999980
528,-21,-9,0.1140330076,-0.2197908878,-0.5788297653,0.0399999980
529,-6,-10,0.0364214205,-0.0802683258,-0.9660494804,0.0399999980
530,2,-10,-0.0172178649,0.0437304401,-0.8262322425,0.0399999980
531,2,-10,-0.0392124633,0.0555081367,-1.2584471702,0.0399999980
532,0,-9,-0.0663547897,0.1619721031,-0.5503180027,0.0399999980
533,-3,-9,-0.0538982820,0.0600553131,-1.4989708900,0.0399999980
